                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.33736,                0.29668,                0.91466,                0.42772,                0.30535,                0.93448,                0.97748,                0.95665,                0.98666,                0.92659,                0.28474,                0.18656,                0.82177,                0.32642,                0.16031,                0.83932,               0.003466,               0.003466,               0.003466
                     69,                0.32924,                0.28916,                0.91198,                0.41329,                0.29118,                0.92988,                0.96756,                 0.9628,                0.98669,                0.92613,                0.28548,                0.18884,                0.82113,                0.32452,                0.16958,                0.83984,               0.003367,               0.003367,               0.003367
                     70,                0.33023,                0.28768,                0.91036,                0.41534,                0.28879,                0.92695,                0.97803,                0.96764,                0.98849,                0.92637,                0.28564,                0.18506,                0.82447,                0.32886,                0.15335,                 0.8448,               0.003268,               0.003268,               0.003268
                     71,                0.32733,                 0.2843,                0.91074,                0.41014,                 0.2859,                 0.9292,                0.97272,                0.96776,                0.98855,                0.92837,                0.28194,                0.18412,                0.82186,                0.32178,                0.15732,                0.84127,               0.003169,               0.003169,               0.003169
                     72,                0.32836,                 0.2825,                  0.909,                0.41076,                0.28407,                0.92632,                  0.972,                0.96612,                0.98845,                0.92886,                0.28432,                0.18601,                 0.8235,                 0.3229,                0.16003,                0.84333,                0.00307,                0.00307,                0.00307
                     73,                0.32662,                0.27885,                0.91162,                0.41232,                0.28088,                0.93043,                 0.9774,                0.97078,                0.98932,                0.92861,                0.28527,                0.18216,                0.82308,                0.32339,                0.14863,                0.84226,               0.002971,               0.002971,               0.002971
                     74,                  0.326,                0.27984,                0.91211,                0.40666,                0.28786,                0.93114,                0.97513,                0.96752,                0.98796,                0.92653,                 0.2863,                0.18169,                 0.8227,                0.32297,                0.15727,                0.84006,               0.002872,               0.002872,               0.002872
                     75,                0.32492,                0.27692,                0.90933,                0.40479,                0.28403,                0.92686,                0.98316,                 0.9595,                0.98861,                0.92764,                0.28432,                0.18343,                0.82312,                0.31995,                 0.1568,                0.83743,               0.002773,               0.002773,               0.002773
                     76,                0.31387,                0.27111,                0.90615,                0.39538,                0.27622,                0.92268,                0.98465,                0.95434,                0.98811,                 0.9283,                0.27824,                0.18278,                0.82175,                0.31421,                0.15733,                0.83716,               0.002674,               0.002674,               0.002674
                     77,                0.31613,                0.26849,                 0.9063,                0.39215,                0.26678,                0.92289,                0.98373,                0.95504,                0.98822,                0.92908,                0.27749,                0.17996,                0.82048,                0.31462,                0.15303,                0.83665,               0.002575,               0.002575,               0.002575
                     78,                0.31322,                0.26643,                0.90204,                0.38966,                0.26568,                0.91835,                0.97212,                0.96211,                0.98795,                0.92941,                0.27586,                0.17642,                0.81806,                0.31374,                0.15917,                0.83848,               0.002476,               0.002476,               0.002476
                     79,                0.31548,                0.26707,                0.90509,                0.38984,                0.26513,                0.92216,                0.97538,                0.97091,                0.98871,                0.92985,                0.27794,                0.17427,                0.81987,                0.31551,                0.15039,                0.83954,               0.002377,               0.002377,               0.002377
                     80,                0.31222,                0.26468,                 0.9047,                 0.3873,                0.26784,                0.92078,                0.97245,                0.97031,                0.98839,                0.92817,                0.27603,                 0.1744,                0.81744,                 0.3168,                0.14776,                0.83982,               0.002278,               0.002278,               0.002278
                     81,                0.30174,                0.25645,                0.90083,                0.37059,                0.25435,                0.91631,                0.97405,                0.96579,                0.98785,                0.92828,                0.27833,                0.17591,                0.82121,                0.31333,                0.15232,                0.84007,               0.002179,               0.002179,               0.002179
                     82,                0.29998,                 0.2535,                0.90193,                0.37104,                0.25404,                0.91807,                 0.9758,                0.96898,                0.98884,                0.92961,                0.27681,                0.17329,                 0.8213,                 0.3121,                0.14448,                0.83966,                0.00208,                0.00208,                0.00208
                     83,                 0.3034,                0.25378,                 0.9024,                0.37532,                0.25051,                0.91923,                0.97139,                0.97021,                0.98787,                0.92854,                0.27643,                0.17283,                0.82048,                0.31117,                0.14943,                0.83864,               0.001981,               0.001981,               0.001981
                     84,                0.30077,                0.25485,                 0.8979,                0.37198,                  0.255,                0.91278,                0.97536,                0.96832,                0.98835,                0.92995,                0.27566,                0.17259,                0.82045,                0.31212,                0.14495,                0.83862,               0.001882,               0.001882,               0.001882
                     85,                0.29504,                0.24912,                0.89874,                0.36518,                0.24543,                0.91384,                0.97337,                 0.9718,                0.98908,                0.93107,                0.27483,                0.17055,                0.81981,                0.31049,                0.14342,                0.83863,               0.001783,               0.001783,               0.001783
                     86,                 0.2936,                0.24816,                0.89526,                 0.3618,                0.24671,                0.90984,                0.97499,                0.96724,                0.98865,                0.92992,                0.27549,                0.17022,                0.82006,                0.31118,                0.14909,                0.83799,               0.001684,               0.001684,               0.001684
                     87,                0.28977,                 0.2423,                0.89591,                0.35476,                0.23571,                0.91078,                0.97057,                0.97008,                0.98805,                0.92935,                0.27507,                 0.1709,                0.82049,                0.31132,                0.14379,                0.83926,               0.001585,               0.001585,               0.001585
                     88,                0.29383,                0.24081,                0.89615,                0.35861,                0.23337,                0.90992,                0.97685,                0.96772,                0.98757,                0.92871,                0.27769,                0.17009,                0.82207,                0.31522,                0.14488,                0.84105,               0.001486,               0.001486,               0.001486
                     89,                0.28723,                0.23546,                0.89463,                0.34976,                 0.2275,                0.90818,                0.97896,                0.96373,                0.98804,                0.92884,                 0.2771,                   0.17,                0.82141,                0.31555,                0.14547,                0.84148,               0.001387,               0.001387,               0.001387
                     90,                0.28735,                0.23482,                0.89331,                 0.3508,                0.23362,                0.90707,                0.97598,                0.96719,                0.98846,                0.93019,                0.27559,                0.16865,                0.82072,                0.31125,                0.14251,                0.84015,               0.001288,               0.001288,               0.001288
                     91,                0.27609,                0.18644,                0.85932,                0.32296,                0.15175,                0.87022,                0.97228,                0.96716,                0.98817,                0.92939,                0.27684,                0.16881,                0.82188,                0.31233,                0.14267,                0.83962,               0.001189,               0.001189,               0.001189
                     92,                0.27306,                0.18369,                0.85439,                0.32244,                0.15352,                0.86601,                0.97916,                0.96591,                0.98753,                0.92851,                0.27772,                 0.1679,                0.82239,                0.31539,                0.14014,                0.83881,                0.00109,                0.00109,                0.00109
                     93,                 0.2679,                0.17866,                0.85091,                0.31288,                0.14296,                0.86076,                0.97115,                0.96844,                0.98724,                0.92822,                0.27518,                0.16671,                0.81978,                0.31297,                0.14112,                0.83778,               0.000991,               0.000991,               0.000991
                     94,                0.26492,                0.17636,                0.84787,                 0.3102,                0.13987,                0.85853,                0.97256,                0.97014,                0.98762,                0.92959,                0.27293,                0.16515,                0.81895,                0.31041,                0.13751,                 0.8382,               0.000892,               0.000892,               0.000892
                     95,                0.26417,                0.17374,                0.84819,                0.30725,                0.13861,                0.85835,                0.96989,                0.97142,                0.98766,                0.92946,                0.27219,                0.16395,                0.81866,                 0.3081,                0.14238,                0.83694,               0.000793,               0.000793,               0.000793
                     96,                0.25696,                0.17017,                0.84521,                0.29949,                0.13399,                0.85643,                 0.9727,                0.96685,                0.98792,                0.92961,                0.27224,                0.16298,                0.81838,                 0.3081,                 0.1443,                0.83622,               0.000694,               0.000694,               0.000694
                     97,                0.25698,                0.16921,                0.84715,                0.29727,                0.13272,                0.85656,                0.97538,                0.96764,                0.98758,                0.92935,                0.27104,                0.16319,                0.81794,                0.30851,                0.14329,                0.83734,               0.000595,               0.000595,               0.000595
                     98,                0.25242,                0.16612,                0.84191,                0.29145,                0.13268,                 0.8499,                0.96623,                 0.9724,                0.98775,                0.92914,                0.27107,                0.16305,                0.81806,                 0.3079,                0.14338,                0.83708,               0.000496,               0.000496,               0.000496
                     99,                0.25016,                0.16746,                0.84348,                0.28887,                0.13033,                0.85276,                0.97677,                0.96873,                0.98789,                0.92941,                0.27037,                0.16252,                0.81788,                0.30714,                0.13921,                0.83697,               0.000397,               0.000397,               0.000397
                    100,                0.24631,                0.16203,                0.83995,                0.27914,                0.12379,                0.84788,                0.97627,                0.97106,                0.98794,                0.92979,                0.26942,                0.16242,                0.81749,                0.30724,                0.13707,                0.83692,               0.000298,               0.000298,               0.000298
